,assortativity,purity,kind
60,0.0,0.6477732793522267,all
61,2.2638476250199254e-16,0.8322997416020672,all
62,0.0,0.7776162790697674,all
63,0.0,0.9711538461538461,all
64,2.2449509718659133e-16,0.9191836734693878,all
65,2.2210841084598673e-16,0.9841269841269842,all
66,0.0,0.9130434782608696,all
67,0.0,0.7884811416921509,all
68,0.0,0.9615966386554622,all
69,0.0,0.9849624060150376,all
70,0.0,0.9836065573770492,all
71,0.0,0.8602941176470589,all
72,0.0,0.925,all
73,0.0,0.9392170329670331,all
74,0.0,0.9960629921259843,all
75,2.2667053419430273e-16,0.870157819225251,all
76,0.0,0.6628823529411765,all
77,0.0,0.9011544011544012,all
78,0.0,0.8246971109040074,all
79,0.0,0.8995544362650135,all
80,0.0,0.9638506355932204,all
81,0.0,0.9623461538461539,all
82,0.0,0.8952380952380953,all
83,0.0,0.7967532467532468,all
84,0.0,0.8172043010752688,all
85,0.0,0.9820143884892086,all
86,0.0,0.8987341772151899,all
87,0.0,0.9961832061068703,all
88,0.0,0.9008928571428572,all
89,0.0,0.9411619486504279,all
90,0.0,0.9835496183206107,all
91,-2.2689739969103343e-16,0.8305084745762712,all
92,0.0,0.9835671653360205,all
93,0.0,0.9916666666666667,all
94,-2.220685344374886e-16,0.9125,all
95,0.0,0.9140664961636829,all
96,0.0,0.9790509538758754,all
97,2.220862799634932e-16,0.9596176821983273,all
98,0.0,0.985,all
99,0.0,0.5691707717569787,all
100,0.0,0.8836405529953917,all
101,0.0,0.869212962962963,all
102,0.0,0.8973214285714286,all
103,0.0,0.7610786671246994,all
104,2.2205488096191227e-16,0.9447266569908079,all
105,0.0,0.9420731707317074,all
106,-2.2374345417506496e-16,0.6698187549251379,all
107,0.0,0.9267241379310345,all
108,0.0,0.6519280682239526,all
109,0.0,0.9918300653594772,all
110,-2.2689739969103343e-16,0.8829787234042553,all
111,0.0,0.8810908084163898,all
112,0.0,0.8641100797915648,all
113,0.0,0.993421052631579,all
114,0.0,0.985,all
115,0.0,0.9759018759018759,all
116,0.0,0.9875315980050556,all
117,-2.221092851441207e-16,0.981203007518797,all
118,0.0,0.8271328671328672,all
119,0.0,0.9520356692487839,all
120,0.0,0.9446476703889103,all
121,0.0,0.9375,all
122,2.220862799634932e-16,0.983739837398374,all
123,2.2357394219711284e-16,0.903061224489796,all
124,2.220547425593702e-16,0.9766056378959604,all
125,2.221731636928889e-16,0.9456521739130435,all
126,0.0,0.948905109489051,all
127,-2.220672625377788e-16,0.9773504273504274,all
128,2.2208516101725503e-16,0.8237043330501275,all
129,0.0,0.8701996927803379,all
130,0.0,0.9854011579818032,all
131,0.0,0.9216867469879518,all
132,2.2208516101725503e-16,0.9618279569892474,all
133,0.0,0.8003539253539254,all
134,0.0,0.875645342312009,all
135,0.0,0.6932976152957244,all
136,0.0,0.7127618681529886,all
137,0.0,0.9170673076923077,all
138,2.2210841084598673e-16,0.9223300970873787,all
139,0.0,0.9391711229946524,all
140,0.0,0.8782646048109966,all
141,0.0,0.8031691485299732,all
142,0.0,0.8230136714880127,all
143,0.0,0.8782051282051282,all
144,0.0,0.8027535630275355,all
145,0.0,0.829594017094017,all
146,0.0,0.9696969696969697,all
147,0.0,0.9841269841269842,all
148,0.0,0.9957627118644068,all
149,0.0,0.7789855072463768,all
150,0.0,0.984375,all
151,0.0,0.9669117647058824,all
152,0.0,0.7011494252873562,all
153,-2.220672625377788e-16,0.9784528063905823,all
154,0.0,0.941747572815534,all
155,2.2667053419430273e-16,0.7559055118110236,all
156,0.0,0.9398148148148149,all
157,0.0,0.9894366197183099,all
158,0.0,0.9151690526957051,all
159,0.0,0.9510123734533183,all
160,0.0,0.9841269841269842,all
161,0.0,0.9214285714285715,all
162,0.0,0.9341342170671085,all
163,0.0,0.9600399600399601,all
164,0.0,0.767641129032258,all
165,0.0,0.9961538461538462,all
166,0.0,0.9598382749326146,all
167,0.0,0.899802371541502,all
168,0.0,0.9043478260869565,all
169,0.0,0.6189963054187192,all
170,0.0,0.9237486965589156,all
171,0.0,0.9208333333333334,all
172,0.0,0.9285004965243298,all
173,0.0,0.8965624999999999,all
174,0.0,0.9387438249823571,all
