id,titles,urls,edit_count,num_editors,edits_by_top_editors,word_count,reverted_edits
1083,Here Come the Newlyweds,/wiki/Here_Come_the_Newlyweds,236,106,"90
                                ·
                                (38.1%)",156,23
1084,Here's Lucy,/wiki/Here%27s_Lucy,600,307,"128
                                ·
                                (21.3%)","2,180",18
1085,Herman's Head,/wiki/Herman%27s_Head,351,216,"76
                                ·
                                (21.7%)","1,389",13
1086,Hero High,/wiki/Hero_High,93,62,"34
                                ·
                                (36.6%)",260,2
1087,Heroes,/wiki/Heroes_(TV_series),"14,517","5,887","2,767
                                ·
                                (19.1%)","6,836","2,422"
1088,Hey Arnold!,/wiki/Hey_Arnold!,"4,024","2,017","601
                                ·
                                (14.9%)","1,798",790
1089,Hey Dude,/wiki/Hey_Dude,597,348,"109
                                ·
                                (18.3%)",867,55
1090,Hidden Hills,/wiki/Hidden_Hills,61,39,"27
                                ·
                                (44.3%)",69,2
1091,Hidden Palms,/wiki/Hidden_Palms,807,355,"256
                                ·
                                (31.7%)",743,63
1092,The High Chaparral,/wiki/The_High_Chaparral,351,161,"153
                                ·
                                (43.6%)","1,300",13
1093,High Maintenance,/wiki/High_Maintenance_(TV_series),1,???,"1
                                ·
                                (100%)",369,0
1094,High Mountain Rangers,/wiki/High_Mountain_Rangers,76,53,"29
                                ·
                                (38.2%)",206,0
1095,High School Reunion,/wiki/High_School_Reunion_(TV_series),166,110,"44
                                ·
                                (26.5%)","1,231",13
1096,Highlander: The Series,/wiki/Highlander:_The_Series,"1,188",532,"317
                                ·
                                (26.7%)","6,768",47
1097,Highway Patrol,/wiki/Highway_Patrol_(U.S._TV_series),395,168,"154
                                ·
                                (39%)","1,626",4
1098,Highway to Heaven,/wiki/Highway_to_Heaven,231,150,"65
                                ·
                                (28.1%)","1,665",13
1099,Hill Street Blues,/wiki/Hill_Street_Blues,"1,369",638,"293
                                ·
                                (21.4%)","3,136",92
1100,The Hills,/wiki/The_Hills_(TV_series),"6,133","2,735","901
                                ·
                                (14.7%)","4,072",693
1101,Hip Hop Harry,/wiki/Hip_Hop_Harry,810,438,"143
                                ·
                                (17.7%)",350,117
1102,Hitched or Ditched,/wiki/Hitched_or_Ditched,54,27,"35
                                ·
                                (64.8%)",176,0
1103,The Hitchhiker,/wiki/The_Hitchhiker_(TV_series),225,149,"47
                                ·
                                (20.9%)",453,11
1104,The Hogan Family,/wiki/The_Hogan_Family,167,103,"46
                                ·
                                (27.5%)","4,243",4
1105,Hogan Knows Best,/wiki/Hogan_Knows_Best,"1,155",573,"268
                                ·
                                (23.2%)","1,319",105
1106,Hogan's Heroes,/wiki/Hogan%27s_Heroes,"3,799","1,700","574
                                ·
                                (15.1%)","2,029",180
1107,Hole in the Wall,/wiki/Hole_in_the_Wall_(U.S._game_show),503,283,"104
                                ·
                                (20.7%)","1,675",36
1108,Hollywood Heights,/wiki/Hollywood_Heights_(TV_series),792,374,"196
                                ·
                                (24.7%)","1,174",98
1109,Hollywood Squares,/wiki/Hollywood_Squares,"2,337",917,"486
                                ·
                                (20.8%)","6,940",138
1110,Home Improvement,/wiki/Home_Improvement_(TV_series),"3,587","1,834","454
                                ·
                                (12.7%)","3,300",351
1111,Home Movies,/wiki/Home_Movies_(TV_series),"1,075",589,"209
                                ·
                                (19.4%)","1,188",93
1112,Home Run Derby,/wiki/Home_Run_Derby_(TV_series),206,102,"76
                                ·
                                (36.9%)","1,564",11
1113,Homefront,/wiki/Homefront_(US_TV_series),2,???,"1
                                ·
                                (50%)",190,0
1114,Homeland,/wiki/Homeland_(TV_series),"2,370","1,001","834
                                ·
                                (35.2%)","2,925",339
1115,Homeland Security USA,/wiki/Homeland_Security_USA,118,74,"43
                                ·
                                (36.4%)",92,9
1116,Homicide: Life on the Street,/wiki/Homicide:_Life_on_the_Street,"1,571",658,"383
                                ·
                                (24.4%)","3,136",95
1117,"Honey, I Shrunk the Kids: The TV Show","/wiki/Honey,_I_Shrunk_the_Kids:_The_TV_Show",283,188,"67
                                ·
                                (23.7%)",659,17
1118,Honey West,/wiki/Honey_West_(TV_series),157,95,"52
                                ·
                                (33.1%)",772,2
1119,The Honeymooners,/wiki/The_Honeymooners,"1,581",862,"285
                                ·
                                (18%)","7,147",81
1120,Hooperman,/wiki/Hooperman,138,91,"40
                                ·
                                (29%)",390,2
1121,Hoops & Yoyo Ruin Christmas,/wiki/Hoops_%26_Yoyo_Ruin_Christmas,52,30,"32
                                ·
                                (61.5%)",516,1
1122,Hootenanny,/wiki/Hootenanny_(US_TV_series),2,???,"1
                                ·
                                (50%)","2,388",0
1123,Hope & Faith,/wiki/Hope_%26_Faith,807,519,"112
                                ·
                                (13.9%)",421,48
1124,Hope and Gloria,/wiki/Hope_and_Gloria,60,44,"18
                                ·
                                (30%)",100,1
1125,Hostages,/wiki/Hostages_(U.S._TV_series),382,202,"139
                                ·
                                (36.4%)",301,25
1126,Hostages,/wiki/Hostages_(Israeli_TV_series),75,39,"43
                                ·
                                (57.3%)",584,0
1127,Hot in Cleveland,/wiki/Hot_in_Cleveland,"1,447",542,"511
                                ·
                                (35.3%)","2,426",119
1128,Hot l Baltimore,/wiki/Hot_l_Baltimore,125,72,"39
                                ·
                                (31.2%)",281,0
1129,Hot Properties,/wiki/Hot_Properties_(sitcom),1,???,"1
                                ·
                                (100%)",131,0
1130,Hotel,/wiki/Hotel_(U.S._TV_series),310,170,"110
                                ·
                                (35.5%)",647,9
1131,"House, M.D.",/wiki/House_(TV_series),"10,629","4,714","1,819
                                ·
                                (17.1%)","7,841","1,770"
1132,House Calls,/wiki/House_Calls_(TV_series),111,68,"41
                                ·
                                (36.9%)",416,0
1133,House of Anubis,/wiki/House_of_Anubis,"4,577","1,753","850
                                ·
                                (18.6%)","2,104",742
1134,House of Cards,/wiki/House_of_Cards_(U.S._TV_series),"3,160","1,404","629
                                ·
                                (19.9%)","6,309",387
1135,House of Mouse,/wiki/House_of_Mouse,2,???,"2
                                ·
                                (100%)",640,0
1136,How I Met Your Mother,/wiki/How_I_Met_Your_Mother,"9,223","5,184","753
                                ·
                                (8.2%)","7,506","1,681"
1137,How to Get Away with Murder,/wiki/How_to_Get_Away_with_Murder,"2,331",888,"564
                                ·
                                (24.2%)","3,318",259
1138,How to Make It in America,/wiki/How_to_Make_It_in_America,467,279,"101
                                ·
                                (21.6%)",581,47
1139,How'd You Get So Rich?,/wiki/How%27d_You_Get_So_Rich%3F,57,38,"26
                                ·
                                (45.6%)",115,3
1140,Howdy Doody,/wiki/Howdy_Doody,"1,039",600,"134
                                ·
                                (12.9%)","3,455",105
1141,Howie Do It,/wiki/Howie_Do_It,223,142,"52
                                ·
                                (23.3%)",217,25
1142,The Huckleberry Hound Show,/wiki/The_Huckleberry_Hound_Show,610,373,"98
                                ·
                                (16.1%)","1,040",67
1143,The Hudson Brothers,/wiki/The_Hudson_Brothers#Television_and_movies,1,???,"1
                                ·
                                (100%)",703,0
1144,Huge,/wiki/Huge_(TV_series),316,194,"84
                                ·
                                (26.6%)",144,26
1145,The Hughleys,/wiki/The_Hughleys,345,188,"106
                                ·
                                (30.7%)",609,16
1146,Hullabaloo,/wiki/Hullabaloo_(TV_series),172,114,"48
                                ·
                                (27.9%)",653,8
1147,Human Target,/wiki/Human_Target_(1992_TV_series),46,30,"21
                                ·
                                (45.7%)",681,2
1148,Human Target,/wiki/Human_Target_(2010_TV_series),752,287,"372
                                ·
                                (49.5%)","1,494",97
1149,Hung,/wiki/Hung_(TV_series),572,409,"59
                                ·
                                (10.3%)",512,40
1150,Hunter,/wiki/Hunter_(1977_TV_series),37,16,"31
                                ·
                                (83.8%)",580,0
1151,Hunter,/wiki/Hunter_(1984_U.S._TV_series),862,393,"245
                                ·
                                (28.4%)","3,155",13
1152,The Huntress,/wiki/The_Huntress_(TV_series),45,33,"22
                                ·
                                (48.9%)",55,3
1153,Hype,/wiki/Hype_(TV_series),86,44,"44
                                ·
                                (51.2%)",170,0
1154,edit,/w/index.php?title=List_of_American_television_programs&action=edit&section=11,NA,NA,NA,NA,NA
1155,I Dream of Jeannie,/wiki/I_Dream_of_Jeannie,"2,352","1,091","450
                                ·
                                (19.1%)","4,273",206
1156,I Love Lucy,/wiki/I_Love_Lucy,"3,537","1,878","394
                                ·
                                (11.1%)","9,573",323
1157,I Love New York,/wiki/I_Love_New_York_(TV_series),"1,893",765,"454
                                ·
                                (24%)",616,201
1158,I Married Joan,/wiki/I_Married_Joan,132,94,"31
                                ·
                                (23.5%)",539,7
1159,"I, Max","/wiki/I,_Max",101,66,"42
                                ·
                                (41.6%)",505,0
1160,Into the Badlands,/wiki/Into_the_Badlands_(TV_series),616,265,"247
                                ·
                                (40.1%)",871,40
1161,I Pity the Fool,/wiki/I_Pity_the_Fool_(TV_series),210,129,"62
                                ·
                                (29.5%)",83,19
1162,I Spy,/wiki/I_Spy_(1965_TV_series),593,368,"79
                                ·
                                (13.3%)","2,054",42
1163,I Survived a Japanese Game Show,/wiki/I_Survived_a_Japanese_Game_Show,"1,419",458,"650
                                ·
                                (45.8%)","1,217",55
1164,iCarly,/wiki/ICarly,"10,316","4,009","883
                                ·
                                (8.6%)","1,947","1,457"
1165,Ice Road Truckers,/wiki/Ice_Road_Truckers,"1,803",753,"425
                                ·
                                (23.6%)","3,861",141
1166,I'll Fly Away,/wiki/I%27ll_Fly_Away_(TV_series),249,110,"114
                                ·
                                (45.8%)",484,7
1167,Imaginary Mary,/wiki/Imaginary_Mary,261,135,"101
                                ·
                                (38.7%)",331,7
1168,Imagination Movers,/wiki/Imagination_Movers_(TV_series),401,220,"91
                                ·
                                (22.7%)",471,48
1169,"I'm Dickens, He's Fenster","/wiki/I%27m_Dickens,_He%27s_Fenster",104,52,"54
                                ·
                                (51.9%)",213,0
1170,I'm With Busey,/wiki/I%27m_with_Busey,96,64,"40
                                ·
                                (41.7%)",488,5
1171,I'm With Her,/wiki/I%27m_With_Her,2,Redirect,"1
                                ·
                                (50%)",274,0
1172,The Imogene Coca Show,/wiki/Imogene_Coca,328,213,"72
                                ·
                                (22%)","1,680",9
1173,Impractical Jokers,/wiki/Impractical_Jokers,"1,972","1,053","255
                                ·
                                (12.9%)",991,256
1174,In the Heat of the Night,/wiki/In_the_Heat_of_the_Night_(TV_series),"1,271",485,"352
                                ·
                                (27.7%)","5,624",64
1175,In Justice,/wiki/In_Justice,246,142,"76
                                ·
                                (30.9%)",522,6
1176,In Living Color,/wiki/In_Living_Color,"1,564",790,"284
                                ·
                                (18.2%)","3,512",77
1177,In the Motherhood,/wiki/In_the_Motherhood,187,96,"72
                                ·
                                (38.5%)",543,7
1178,In Plain Sight,/wiki/In_Plain_Sight,870,354,"305
                                ·
                                (35.1%)",609,95
1179,In Search Of...,/wiki/In_Search_Of..._(TV_series),3,???,"2
                                ·
                                (66.7%)",858,0
1180,In Treatment,/wiki/In_Treatment_(U.S._TV_series),750,371,"220
                                ·
                                (29.3%)","1,906",33
1181,The Inbetweeners,/wiki/The_Inbetweeners_(U.S._TV_series),436,229,"154
                                ·
                                (35.3%)",529,59
1182,"Inch High, Private Eye","/wiki/Inch_High,_Private_Eye",224,164,"35
                                ·
                                (15.6%)",228,14
1183,Inconceivable,/wiki/Inconceivable,80,69,"19
                                ·
                                (23.8%)",745,5
1184,The Incredible Hulk,/wiki/The_Incredible_Hulk_(1978_TV_series),"1,872",785,"472
                                ·
                                (25.2%)","4,870",167
1185,The Ingraham Angle,/wiki/The_Ingraham_Angle,269,61,"196
                                ·
                                (72.9%)","1,251",21
1186,Ink,/wiki/Ink_(TV_series),85,62,"27
                                ·
                                (31.8%)",252,1
1187,Inside Edition,/wiki/Inside_Edition,745,354,"225
                                ·
                                (30.2%)",950,73
1188,Inside the Actors Studio,/wiki/Inside_the_Actors_Studio,757,438,"165
                                ·
                                (21.8%)","1,215",37
1189,Inside the NFL,/wiki/Inside_the_NFL,274,136,"109
                                ·
                                (39.8%)","1,206",10
1190,Insomniac with Dave Attell,/wiki/Insomniac_with_Dave_Attell,153,115,"34
                                ·
                                (22.2%)",199,8
1191,Inspector Gadget,/wiki/Inspector_Gadget_(1983_TV_series),"3,823","1,840","532
                                ·
                                (13.9%)","5,101",323
1192,Intelligence,/wiki/Intelligence_(U.S._TV_series),414,183,"145
                                ·
                                (35%)",288,19
1193,Invader Zim,/wiki/Invader_Zim,"7,271","3,163","1,553
                                ·
                                (21.4%)","7,785","1,405"
1194,The Invaders,/wiki/The_Invaders,752,328,"275
                                ·
                                (36.6%)","8,341",22
1195,Invasion,/wiki/Invasion_(U.S._TV_series),677,372,"151
                                ·
                                (22.3%)",856,32
1196,Invasion America,/wiki/Invasion_America,246,156,"75
                                ·
                                (30.5%)",419,18
1197,The Invisible Man,/wiki/The_Invisible_Man_(1975_TV_series),143,99,"40
                                ·
                                (28%)","1,112",2
1198,The Invisible Man,/wiki/The_Invisible_Man_(2000_TV_series),426,250,"85
                                ·
                                (20%)","1,833",14
1199,Iron Chef America,/wiki/Iron_Chef_America,"1,910",877,"509
                                ·
                                (26.6%)","5,112",256
1200,Iron Fist,/wiki/Iron_Fist_(TV_series),"1,238",309,"623
                                ·
                                (50.3%)","2,339",243
1201,Iron Man,/wiki/Iron_Man_(TV_series),666,280,"287
                                ·
                                (43.1%)","4,511",26
1202,Ironside,/wiki/Ironside_(TV_series),1,???,"1
                                ·
                                (100%)","1,938",0
1203,The Islanders,/wiki/The_Islanders_(TV_series),60,40,"30
                                ·
                                (50%)",315,1
1204,It Had to Be You,/wiki/It_Had_to_Be_You_(TV_series),50,31,"26
                                ·
                                (52%)",396,1
1205,It Takes a Thief,/wiki/It_Takes_a_Thief_(1968_TV_series),342,162,"121
                                ·
                                (35.4%)",976,14
1206,It Takes a Thief,/wiki/It_Takes_a_Thief_(2005_TV_series),647,234,"327
                                ·
                                (50.5%)","1,746",59
1207,It's About Time,/wiki/It%27s_About_Time_(TV_series),286,148,"92
                                ·
                                (32.2%)",684,11
1208,It's All Relative,/wiki/It%27s_All_Relative,175,118,"42
                                ·
                                (24%)",594,5
1209,It's Always Sunny in Philadelphia,/wiki/It%27s_Always_Sunny_in_Philadelphia,"5,364","2,857","754
                                ·
                                (14.1%)","1,995",557
1210,It's Garry Shandling's Show,/wiki/It%27s_Garry_Shandling%27s_Show,342,182,"112
                                ·
                                (32.7%)",813,15
1211,"It's Like, You Know...","/wiki/It%27s_Like,_You_Know...",116,70,"42
                                ·
                                (36.2%)",259,9
1212,It's a Living,/wiki/It%27s_a_Living_(1980_TV_series),1,???,"1
                                ·
                                (100%)",632,0
1213,It's Your Chance of a Lifetime,/wiki/It%27s_Your_Chance_of_a_Lifetime,143,80,"59
                                ·
                                (41.3%)",572,3
1214,It's Your Move,/wiki/It%27s_Your_Move,198,101,"70
                                ·
                                (35.4%)",651,9
1215,I've Got a Secret,/wiki/I%27ve_Got_a_Secret,529,290,"115
                                ·
                                (21.7%)","3,242",23
1216,iZombie,/wiki/IZombie_(TV_series),"1,264",424,"446
                                ·
                                (35.3%)","1,260",128
1217,edit,/w/index.php?title=List_of_American_television_programs&action=edit&section=12,NA,NA,NA,NA,NA
1218,J.P. Patches Show,/wiki/J.P._Patches,2,???,"4
                                ·
                                (100%)","1,213",1
1219,Jack & Bobby,/wiki/Jack_%26_Bobby,354,224,"71
                                ·
                                (20.1%)",145,20
1220,Jack & Jill,/wiki/Jack_%26_Jill_(TV_series),121,90,"27
                                ·
                                (22.3%)",260,7
1221,The Jack Benny Show,/wiki/The_Jack_Benny_Show,6,???,"6
                                ·
                                (100%)","1,893",2
1222,The Jack LaLanne Show,"/wiki/Jack_LaLanne#Books,_television_and_other_media","1,610",812,"385
                                ·
                                (23.9%)","2,419",207
1223,Jack of All Trades,/wiki/Jack_of_All_Trades_(TV_series),253,172,"60
                                ·
                                (23.7%)",324,9
1224,Jackass,/wiki/Jackass_(TV_series),1,???,"1
                                ·
                                (100%)","2,877",0
1225,JAG,/wiki/JAG_(TV_series),"1,839",950,"256
                                ·
                                (13.9%)","2,903",107
1226,Jake 2.0,/wiki/Jake_2.0,304,171,"106
                                ·
                                (34.9%)",191,17
1227,Jake and the Fatman,/wiki/Jake_and_the_Fatman,301,204,"59
                                ·
                                (19.6%)",521,28
1228,The Jake Effect,/wiki/The_Jake_Effect,49,37,"19
                                ·
                                (38.8%)",98,1
1229,Jake In Progress,/wiki/Jake_In_Progress,2,???,"1
                                ·
                                (50%)",240,0
1230,James at 15,/wiki/James_at_15,127,89,"28
                                ·
                                (22%)",735,3
1231,James at 16,/wiki/James_at_15,127,89,"28
                                ·
                                (22%)",735,3
1232,The Jamie Foxx Show,/wiki/The_Jamie_Foxx_Show,527,284,"113
                                ·
                                (21.4%)",453,34
1233,The Jamie Kennedy Experiment,/wiki/The_Jamie_Kennedy_Experiment,148,113,"31
                                ·
                                (20.9%)",258,12
1234,Jamie Oliver's Food Revolution,/wiki/Jamie_Oliver%27s_Food_Revolution,250,166,"54
                                ·
                                (21.6%)",478,13
1235,Jane the Virgin,/wiki/Jane_the_Virgin,"1,386",584,"357
                                ·
                                (25.8%)","1,300",161
1236,The Janice Dickinson Modeling Agency,/wiki/The_Janice_Dickinson_Modeling_Agency,694,264,"301
                                ·
                                (43.4%)",602,59
1237,The Jay Leno Show,/wiki/The_Jay_Leno_Show,"1,264",485,"379
                                ·
                                (30%)","3,615",92
1238,The Jeffersons,/wiki/The_Jeffersons,"1,811",780,"557
                                ·
                                (30.8%)","1,881",157
1239,All in the Family,/wiki/All_in_the_Family,"2,971","1,282","697
                                ·
                                (23.5%)","3,854",288
1240,Jennifer Slept Here,/wiki/Jennifer_Slept_Here,122,78,"43
                                ·
                                (35.2%)",389,4
1241,The Jenny Jones Show,/wiki/The_Jenny_Jones_Show,283,167,"70
                                ·
                                (24.7%)",936,5
1242,Jeopardy!,/wiki/Jeopardy!,"6,844","2,375","2,004
                                ·
                                (29.3%)","7,601","1,022"
1243,Jeremiah,/wiki/Jeremiah_(TV_series),403,262,"85
                                ·
                                (21.1%)","1,073",11
1244,Jericho,/wiki/Jericho_(1966_TV_series),41,27,"22
                                ·
                                (53.7%)",322,1
1245,Jericho,/wiki/Jericho_(2006_TV_series),"4,650","1,808","916
                                ·
                                (19.7%)","4,689",492
1246,The Jerry Springer Show,/wiki/The_Jerry_Springer_Show,"1,911","1,045","225
                                ·
                                (11.8%)","4,634",143
1247,Jersey Shore,/wiki/Jersey_Shore_(TV_series),"2,436","1,096","489
                                ·
                                (20.1%)","2,986",292
1248,Jesse,/wiki/Jesse_(TV_series),165,123,"42
                                ·
                                (25.5%)",142,13
1249,Jessica Jones,/wiki/Jessica_Jones_(TV_series),"1,509",417,"801
                                ·
                                (53.1%)","3,441",225
1250,The Jetsons,/wiki/The_Jetsons,"2,821","1,483","298
                                ·
                                (10.6%)","1,915",324
1251,Jigsaw,/wiki/Jigsaw_(U.S._TV_series),58,39,"26
                                ·
                                (44.8%)",131,3
1252,Jigsaw John,/wiki/Jigsaw_John#Fame,3,???,"3
                                ·
                                (100%)",632,0
1253,Jim Rome Is Burning,/wiki/Jim_Rome_Is_Burning,627,242,"240
                                ·
                                (38.3%)",307,52
1254,Jimmy Kimmel Live!,/wiki/Jimmy_Kimmel_Live!,"2,155","1,130","283
                                ·
                                (13.1%)","5,736",165
1255,Joan of Arcadia,/wiki/Joan_of_Arcadia,943,555,"205
                                ·
                                (21.7%)","1,016",35
1256,Joanie Loves Chachi,/wiki/Joanie_Loves_Chachi,359,224,"61
                                ·
                                (17%)",756,26
1257,The Job,/wiki/The_Job_(2001_TV_series),134,100,"32
                                ·
                                (23.9%)",286,8
1258,Joey,/wiki/Joey_(TV_series),"1,878","1,164","189
                                ·
                                (10.1%)","1,324",180
1259,The Joey Bishop Show,/wiki/The_Joey_Bishop_Show_(sitcom),2,???,"6
                                ·
                                (100%)","1,384",1
1260,The Joey Bishop Show,/wiki/The_Joey_Bishop_Show_(talk_show),86,48,"41
                                ·
                                (47.7%)",328,4
1261,John Doe,/wiki/John_Doe_(TV_series),377,248,"90
                                ·
                                (23.9%)",448,35
1262,John from Cincinnati,/wiki/John_from_Cincinnati,649,308,"164
                                ·
                                (25.3%)",228,62
1263,Johnny Test,/wiki/Johnny_Test,"4,850","2,033","741
                                ·
                                (15.3%)","3,541",797
1264,Jojo's Circus,/wiki/Jojo%27s_Circus,2,???,"1
                                ·
                                (50%)","2,583",0
1265,The Joker's Wild,/wiki/The_Joker%27s_Wild,"2,089",671,"521
                                ·
                                (24.9%)","6,008",111
1266,Jonas L.A.,/wiki/Jonas_L.A.,4,???,"3
                                ·
                                (75%)","1,932",0
1267,Jonny Quest,/wiki/Jonny_Quest_(TV_series),410,231,"80
                                ·
                                (19.5%)","1,167",31
1268,Josie and the Pussycats,/wiki/Josie_and_the_Pussycats_(TV_series),900,467,"181
                                ·
                                (20.1%)","3,491",36
1269,Journey to the Center of the Earth,/wiki/Journey_to_the_Center_of_the_Earth_(TV_series),113,69,"47
                                ·
                                (41.6%)",279,4
1270,Journeyman,/wiki/Journeyman_(TV_series),868,438,"208
                                ·
                                (24%)","1,241",89
1271,The Joy Behar Show,/wiki/The_Joy_Behar_Show,1,???,"1
                                ·
                                (100%)",482,0
1272,Judge Hatchett,/wiki/Judge_Hatchett,206,108,"90
                                ·
                                (43.7%)",294,8
1273,Judge Joe Brown,/wiki/Judge_Joe_Brown#Television_show,86,60,"28
                                ·
                                (32.6%)","1,319",7
1274,Judge Judy,/wiki/Judge_Judy,"6,759","1,621","3,560
                                ·
                                (52.7%)","8,360",650
1275,Judge Maria Lopez,/wiki/Judge_Maria_Lopez,211,100,"88
                                ·
                                (41.7%)",145,18
1276,Judge Mathis,/wiki/Judge_Mathis,837,256,"476
                                ·
                                (56.9%)","1,878",59
1277,Judge Mills Lane,/wiki/Judge_Mills_Lane,196,86,"102
                                ·
                                (52%)",189,18
1278,Judging Amy,/wiki/Judging_Amy,787,456,"142
                                ·
                                (18%)",703,37
1279,The Judy Garland Show,/wiki/The_Judy_Garland_Show,309,110,"168
                                ·
                                (54.4%)","2,310",11
1280,Julia,/wiki/Julia_(TV_series),206,133,"50
                                ·
                                (24.3%)",651,8
1281,Julie,/wiki/Julie_(TV_series),45,37,"17
                                ·
                                (37.8%)",123,0
1282,Junior Almost Anything Goes,/wiki/Almost_Anything_Goes,5,???,"7
                                ·
                                (87.5%)","1,367",0
1283,Almost Anything Goes,/wiki/Almost_Anything_Goes,5,???,"7
                                ·
                                (87.5%)","1,367",0
1284,The Jury,/wiki/The_Jury_(TV_series),92,54,"41
                                ·
                                (44.6%)",68,2
1285,Just for Kicks,/wiki/Just_for_Kicks_(TV_series),322,173,"115
                                ·
                                (35.7%)",102,28
1286,Just Jordan,/wiki/Just_Jordan,841,460,"196
                                ·
                                (23.3%)",373,78
1287,Just Legal,/wiki/Just_Legal,280,97,"163
                                ·
                                (58.2%)",365,10
1288,Just Shoot Me!,/wiki/Just_Shoot_Me!,857,535,"106
                                ·
                                (12.4%)","2,756",58
1289,Just the Ten of Us,/wiki/Just_the_Ten_of_Us,313,178,"82
                                ·
                                (26.2%)",591,11
1290,Justice,/wiki/Justice_(TV_series),1,???,"1
                                ·
                                (100%)",775,0
1291,Justice League,/wiki/Justice_League_(TV_series),"1,130",644,"136
                                ·
                                (12%)","1,063",89
1292,Justice League Unlimited,/wiki/Justice_League_Unlimited,"2,518","1,071","399
                                ·
                                (15.8%)","1,038",151
1293,Justified,/wiki/Justified_(TV_series),"1,348",581,"396
                                ·
                                (29.4%)","3,107",173
1294,edit,/w/index.php?title=List_of_American_television_programs&action=edit&section=13,NA,NA,NA,NA,NA
1295,K Street,/wiki/K_Street_(TV_series),83,62,"24
                                ·
                                (28.9%)",499,6
1296,K-Ville,/wiki/K-Ville_(TV_series),301,157,"91
                                ·
                                (30.2%)",345,31
1297,KaBLaM!,/wiki/KaBlam!,"1,445",748,"296
                                ·
                                (20.5%)","2,870",122
1298,The Kallikaks,/wiki/The_Kallikaks,27,18,"18
                                ·
                                (66.7%)",457,0
1299,Karen,/wiki/Karen_(1964_TV_series),52,37,"23
                                ·
                                (44.2%)",222,0
1300,Karen,/wiki/Karen_(1975_TV_series),48,33,"21
                                ·
                                (43.8%)",89,2
1301,Karen Sisco,/wiki/Karen_Sisco,154,103,"46
                                ·
                                (29.9%)",240,1
1302,Kate & Allie,/wiki/Kate_%26_Allie,382,180,"139
                                ·
                                (36.4%)","1,197",11
1303,Kate Brasher,/wiki/Kate_Brasher,22,17,"15
                                ·
                                (68.2%)",351,0
1304,Kath & Kim,/wiki/Kath_%26_Kim_(U.S._TV_series),454,278,"102
                                ·
                                (22.5%)",775,37
1305,Kathy,/wiki/Kathy_(TV_series),1,???,"1
                                ·
                                (100%)",259,0
1306,Kathy Griffin: My Life on the D-List,/wiki/Kathy_Griffin:_My_Life_on_the_D-List,594,311,"130
                                ·
                                (21.9%)",315,25
1307,Kaz,/wiki/Kaz_(TV_series),57,42,"21
                                ·
                                (36.8%)",108,0
1308,Keen Eddie,/wiki/Keen_Eddie,235,140,"77
                                ·
                                (32.8%)",839,12
1309,Keeping Up with the Kardashians,/wiki/Keeping_Up_with_the_Kardashians,"5,844","2,909","772
                                ·
                                (13.2%)","4,654","1,127"
1310,Kenan & Kel,/wiki/Kenan_%26_Kel,"3,066","1,632","433
                                ·
                                (14.1%)",951,375
1311,Kevin Hill,/wiki/Kevin_Hill,183,120,"42
                                ·
                                (23%)",150,25
1312,Kid Nation,/wiki/Kid_Nation,"2,227",851,"634
                                ·
                                (28.5%)","1,207",312
1313,The Kid Super Power Hour with Shazam!,/wiki/The_Kid_Super_Power_Hour_with_Shazam!,166,107,"45
                                ·
                                (27.1%)",203,2
1314,Kidnapped,/wiki/Kidnapped_(TV_series),379,192,"120
                                ·
                                (31.7%)",597,18
1315,Kids Say the Darndest Things,/wiki/Kids_Say_the_Darndest_Things,306,208,"51
                                ·
                                (16.7%)",226,33
1316,The Kill Point,/wiki/The_Kill_Point,524,254,"163
                                ·
                                (31.1%)",570,15
1317,Killer Instinct,/wiki/Killer_Instinct_(TV_series),187,108,"77
                                ·
                                (41.2%)",284,12
1318,Kim Possible,/wiki/Kim_Possible,"4,697","2,105","729
                                ·
                                (15.5%)","8,477",732
1319,King of the Hill,/wiki/King_of_the_Hill,"7,082","3,749","621
                                ·
                                (8.8%)","3,900","1,008"
1320,The King of Queens,/wiki/The_King_of_Queens,"3,305","1,676","467
                                ·
                                (14.1%)","1,525",353
1321,Kingpin,/wiki/Kingpin_(TV_series),80,57,"30
                                ·
                                (37.5%)",213,1
1322,Kipper the Dog,/wiki/Kipper_the_Dog,"1,036",307,"489
                                ·
                                (47.2%)",81,104
1323,Kirby: Right Back At Ya,/wiki/Kirby:_Right_Back_At_Ya,1,???,"1
                                ·
                                (100%)","2,466",0
1324,Kitchen Confidential,/wiki/Kitchen_Confidential_(TV_series),187,91,"91
                                ·
                                (48.7%)",199,14
1325,Kitchen Nightmares,/wiki/Kitchen_Nightmares,"2,420",836,"785
                                ·
                                (32.4%)",592,478
1326,Knightfall (TV series),/wiki/Knightfall_(TV_series),621,135,"434
                                ·
                                (69.9%)","1,229",49
1327,Knight Rider,/wiki/Knight_Rider_(1982_TV_series),"3,355","1,651","572
                                ·
                                (17%)","1,286",292
1328,Knight Rider,/wiki/Knight_Rider_(2008_TV_series),"1,081",496,"269
                                ·
                                (24.9%)",998,135
1329,The Knick,/wiki/The_Knick,522,206,"234
                                ·
                                (44.8%)","1,005",36
1330,The Knights of Prosperity,/wiki/The_Knights_of_Prosperity,465,219,"163
                                ·
                                (35.1%)",597,33
1331,Knots Landing,/wiki/Knots_Landing,"1,738",695,"436
                                ·
                                (25.1%)","7,619",58
