id,titles,urls,edit_count,num_editors,edits_by_top_editors,word_count,reverted_edits
81,ALF,/wiki/ALF_(TV_series),"3,090","1,744","398
                                ·
                                (12.9%)","4,145",372
82,Alfred Hitchcock Presents,/wiki/Alfred_Hitchcock_Presents,904,423,"265
                                ·
                                (29.3%)","1,399",32
83,Alfred Hitchcock Presents,/wiki/Alfred_Hitchcock_Presents_(1985_TV_series),138,94,"39
                                ·
                                (28.3%)",204,3
84,Alias,/wiki/Alias_(TV_series),"2,098","1,105","320
                                ·
                                (15.3%)","4,602",133
85,Alias Smith and Jones,/wiki/Alias_Smith_and_Jones,513,226,"179
                                ·
                                (34.9%)","1,429",22
86,Alice,/wiki/Alice_(TV_series),877,436,"189
                                ·
                                (21.6%)","2,504",32
87,Aliens in America,/wiki/Aliens_in_America,702,359,"157
                                ·
                                (22.4%)",441,70
88,All About the Andersons,/wiki/All_About_the_Andersons,73,53,"24
                                ·
                                (32.9%)",72,2
89,All About Us,/wiki/All_About_Us_(TV_series),116,65,"52
                                ·
                                (44.8%)",129,3
90,All-American Girl,/wiki/All_American_Girl_(1994_TV_series),2,???,"1
                                ·
                                (50%)","2,133",0
91,All in the Family,/wiki/All_in_the_Family,"2,971","1,282","697
                                ·
                                (23.5%)","3,854",288
92,All My Children,/wiki/All_My_Children,"7,506","2,207","1,658
                                ·
                                (22.1%)","8,991",410
93,All of Us,/wiki/All_of_Us,517,294,"122
                                ·
                                (23.6%)",678,24
94,All Souls,/wiki/All_Souls_(TV_series),227,61,"165
                                ·
                                (72.7%)","2,038",2
95,All Star Anything Goes,/wiki/Almost_Anything_Goes,5,???,"7
                                ·
                                (87.5%)","1,367",0
96,All That,/wiki/All_That,"4,999","1,706","1,649
                                ·
                                (33%)","4,891",335
97,All That Glitters,/wiki/All_That_Glitters_(TV_series),179,87,"85
                                ·
                                (47.5%)","1,092",6
98,All's Fair,/wiki/All%27s_Fair,94,56,"47
                                ·
                                (50%)",348,0
99,Ally,/wiki/Ally_(sitcom),2,???,"2
                                ·
                                (100%)","1,844",0
100,Ally McBeal,/wiki/Ally_McBeal,"1,540",917,"218
                                ·
                                (14.2%)","1,844",73
101,Almost Anything Goes,/wiki/Almost_Anything_Goes,5,???,"7
                                ·
                                (87.5%)","1,367",0
102,It's a Knockout,/wiki/It%27s_a_Knockout,413,216,"131
                                ·
                                (31.7%)","1,367",16
103,Almost Home,/wiki/The_Torkelsons,307,151,"119
                                ·
                                (38.8%)",771,11
104,The Torkelsons,/wiki/The_Torkelsons,307,151,"119
                                ·
                                (38.8%)",771,11
105,Almost Human,/wiki/Almost_Human_(TV_series),514,273,"153
                                ·
                                (29.8%)",775,34
106,Alphas,/wiki/Alphas,714,371,"135
                                ·
                                (18.9%)",811,63
107,Alvin and the Chipmunks,/wiki/Alvin_and_the_Chipmunks_(1983_TV_series),"1,249",553,"255
                                ·
                                (20.4%)",548,222
108,The Alvin Show,/wiki/The_Alvin_Show,705,329,"135
                                ·
                                (19.1%)",902,77
109,The Amanda Show,/wiki/The_Amanda_Show,"2,755","1,465","367
                                ·
                                (13.3%)",631,306
