,Author,Time,URL,Favorites,Retweets,Verified,Text
196,BehicAzmi,Tue Jan 07 21:22:45 +0000 2020,1214658655758553089,0,0,False,@timandsid You are joking right? It was an alright move nothing too special.. Special is an @ovi8 falling behind the back lacrosse goal.. that’s the best goal you will ever see 👀
197,OverlayDFShelp,Tue Jan 07 21:21:33 +0000 2020,1214658352036372481,1,1,False,"@timandsid goal reminds me of power moves from other sports like when guys push the basketball ahead and catchup to it , or a scoopturn in soccer or even like a stiff arm/ hurdle, but somehow mcjesus brought it to the NHL fake n go"
198,SSPR78,Tue Jan 07 21:19:21 +0000 2020,1214657799290003456,0,0,False,@timandsid Beauty!
199,churchyvcdc5,Tue Jan 07 21:19:10 +0000 2020,1214657753802821633,0,0,False,@timandsid Not all great goals were by superstars. Another one scored on A move made on Ray Bourque https://t.co/Zys60FEFI1
200,daryistotle,Tue Jan 07 21:18:57 +0000 2020,1214657700400902147,0,0,False,@timandsid Toast
201,ajleomusic,Tue Jan 07 21:18:45 +0000 2020,1214657650421485568,0,0,False,@timandsid Definitely the best fake on a d man I’ve seen.
202,mb_storey,Tue Jan 07 21:18:31 +0000 2020,1214657589990039558,0,0,False,@timandsid Tavares '17-'18 vs Blues.
203,churchyvcdc5,Tue Jan 07 21:15:05 +0000 2020,1214656726546419713,1,0,False,@timandsid Mario on Ray Bourque was pretty special.
204,BigDuke78,Tue Jan 07 21:14:47 +0000 2020,1214656649895395328,0,0,False,@timandsid Hoglander’s Michigan Zoro goal at World Juniors this year was insane!!
205,LeonardWolfe7,Tue Jan 07 21:13:17 +0000 2020,1214656272089276416,0,0,False,@timandsid One of the best
206,PeterFalcone57,Tue Jan 07 21:11:32 +0000 2020,1214655835156045824,0,0,False,@timandsid You Tube Denis Savard goals.🤔
207,big_chef_steele,Tue Jan 07 21:09:19 +0000 2020,1214655276239876096,0,0,False,"@timandsid This is a nice goal, but it's a 6 out of 10 at best. Rick Nash 2008 vs the Coyotes was far better. The Crosby 1 handler vs Buffalo is better too. #timandsid"
208,mgrewal94,Tue Jan 07 21:08:10 +0000 2020,1214654984945455104,0,0,False,"@timandsid ""Rick Nash how do you do"""
209,WaylonMcGill1,Tue Jan 07 21:04:23 +0000 2020,1214654032716926977,0,0,False,@timandsid Steals your  pocket change in a British phone booth dials up Mario Lemieux  between the Ray Bourque legs collect and emails the charges.
210,_StuntMan12_,Tue Jan 07 21:03:47 +0000 2020,1214653881654759425,1,0,False,@timandsid @skates89us yes best skill guy the game has ever seen right lol.
211,skates89us,Tue Jan 07 22:34:48 +0000 2020,1214676786153439232,1,0,False,"@_StuntMan12_ @timandsid No definitely not, he pulled a nice stutter step move and basic top shelf..Lets see him do this lmfao
https://t.co/ioqjdxd01j"
212,_StuntMan12_,Tue Jan 07 22:50:02 +0000 2020,1214680619864608768,1,0,False,@skates89us @timandsid bro he could but he doesnt want to show up hoglander that much. give the kid a bit of sun shine and glory lol
213,skates89us,Tue Jan 07 22:54:39 +0000 2020,1214681781976387585,1,0,False,@_StuntMan12_ @timandsid He cant Mcdavid is obviously great for so many more reasons truly the best right now in some respects but people need to stop blowing smoke up his blowhole every damn minute.
214,_StuntMan12_,Tue Jan 07 22:55:24 +0000 2020,1214681971495800832,1,0,False,"@skates89us @timandsid bro stfu u know mcdavid is the greatest player we've seen in the last 30 years. the game has advanced in so many ways. mcdavid is the past, present, and future of hockey."
