,Author,Time,URL,Favorites,Retweets,Verified,Text
196,JeremyPyatt,Tue Jan 07 21:00:24 +0000 2020,1214653031586947073,0,0,False,"@timandsid I remember Rick Nash completely undressing two defenders and the goalie once. Can’t remember who they were playing. Maybe Arizona?
Anywho, that was a beauty."
197,ButlerK2083,Tue Jan 07 20:58:20 +0000 2020,1214652512000720896,0,0,False,"@timandsid Jan 16 2006
20 year old Ovechkin https://t.co/BAwRGSMKAA"
198,VANcanucks92,Tue Jan 07 20:58:02 +0000 2020,1214652437404930048,0,0,False,@timandsid Bure making LIDSTROM look like a fool https://t.co/h08bXxATKM
199,fried_blowney,Tue Jan 07 20:57:02 +0000 2020,1214652184547254273,1,0,False,@timandsid Bobby Orr coast to coast
200,nicholson0823,Tue Jan 07 20:56:43 +0000 2020,1214652105098584064,0,0,False,@timandsid Still like Ovi’s on his back reverse goal as best
201,SnoopMinnis,Tue Jan 07 20:56:04 +0000 2020,1214651941814325248,0,0,False,"@timandsid Jagr against the Blackhawks in 92 Stanley Cup finals displays power,balance,stick handling, vision, and a nice backhand."
202,moose_0721,Tue Jan 07 20:55:36 +0000 2020,1214651824050864128,0,0,False,@timandsid Without a doubt. There's 5 or so moves inside this single piece of magic.
203,GLrebirth,Tue Jan 07 20:54:36 +0000 2020,1214651571591618561,0,0,False,@timandsid Watch Mario Lemieux highlights
204,MegOnZ92,Tue Jan 07 20:53:32 +0000 2020,1214651303659524098,0,0,False,"@timandsid @jeffdegan It's a beaut, Clark"
205,JasonRo88409625,Tue Jan 07 20:52:29 +0000 2020,1214651039321935872,0,0,False,@timandsid the Matthews goal same time last week
206,stevecorgy,Tue Jan 07 20:51:14 +0000 2020,1214650722635014146,0,0,False,@timandsid Yes. The difference on this goal is that Connor does things that no one else can do.
207,yourbigfan3006,Tue Jan 07 20:50:32 +0000 2020,1214650549921910784,0,0,False,@timandsid No
208,Joelski91,Tue Jan 07 20:47:52 +0000 2020,1214649877218709506,0,0,False,@timandsid Not even close bud
