,title,year,url,edit_count,num_editors,edits_by_top_editors,word_count,reverted_edits
6440,Rose Madder (novel),1995,/wiki/Rose_Madder_(novel),260,170,"70
                                ·
                                (26.9%)",1006,15
6441,Rule of the Bone,1995,/wiki/Rule_of_the_Bone,129,96,"34
                                ·
                                (26.4%)",771,14
6442,The Runaway in Oz,1995,/wiki/The_Runaway_in_Oz,43,28,"24
                                ·
                                (55.8%)",948,0
6443,Sabbath's Theater,1995,/wiki/Sabbath%27s_Theater,93,61,"34
                                ·
                                (36.6%)",239,3
6444,Sarek (novel),1995,/wiki/Sarek_(novel),24,23,"10
                                ·
                                (41.7%)",1063,0
6445,The Search for Snout,1995,/wiki/The_Search_for_Snout,51,38,"23
                                ·
                                (45.1%)",927,2
6446,Secrets of the Nile,1995,/wiki/Secrets_of_the_Nile,19,12,"17
                                ·
                                (89.5%)",128,1
6447,Shadow Moon (novel),1995,/wiki/Shadow_Moon_(novel),36,26,"20
                                ·
                                (55.6%)",214,1
6448,The Shattered Sphere,1995,/wiki/The_Shattered_Sphere,19,15,"13
                                ·
                                (68.4%)",30,0
6449,Show of Evil,1995,/wiki/Show_of_Evil,20,8,"20
                                ·
                                (100%)",57,0
6450,The Six Messiahs,1995,/wiki/The_Six_Messiahs,65,25,"50
                                ·
                                (76.9%)",824,1
6451,Small g: a Summer Idyll,1995,/wiki/Small_g:_a_Summer_Idyll,56,24,"41
                                ·
                                (73.2%)",586,0
6452,Snow Falling on Cedars,1995,/wiki/Snow_Falling_on_Cedars,379,237,"67
                                ·
                                (17.7%)",870,41
6453,The Stolen Throne,1995,/wiki/The_Stolen_Throne,18,14,"14
                                ·
                                (77.8%)",89,0
6454,Storm Rising,1995,/wiki/Storm_Rising,24,19,"14
                                ·
                                (58.3%)",469,0
6455,Stormy Weather (novel),1995,/wiki/Stormy_Weather_(novel),83,46,"46
                                ·
                                (55.4%)",1057,4
6456,Sudden Death (Mertz novel),1995,/wiki/Sudden_Death_(Mertz_novel),14,Stub,"15
                                ·
                                (71.4%)",1175,1
6457,Target for Terror,1995,/wiki/Target_for_Terror,13,9,"12
                                ·
                                (92.3%)",118,0
6458,The Tent (Paulsen novel),1995,/wiki/The_Tent_(Paulsen_novel),35,30,"12
                                ·
                                (34.3%)",59,0
6459,Thin Air (novel),1995,/wiki/Thin_Air_(novel),24,16,"17
                                ·
                                (70.8%)",189,0
6460,A Thing of State,1995,/wiki/A_Thing_of_State,22,6,"19
                                ·
                                (86.4%)",263,0
6461,Thunder Cave,1995,/wiki/Thunder_Cave,82,61,"26
                                ·
                                (31.7%)",112,14
6462,To Play the Fool,1995,/wiki/To_Play_the_Fool,48,26,"32
                                ·
                                (66.7%)",97,0
